in_sample_start_idx,in_sample_end_idx,start_date,end_date,out_sample_start_idx,out_sample_end_idx,out_sample_start_date,out_sample_end_date,optimal_chn_len,optimal_stop_pct,best_target
0,57455,2007-10-02 08:25:00,2011-08-29 09:25:00,57456,61046,2011-08-29 09:30:00,2011-11-24 09:25:00,10000,0.014,6.643477070719968
3591,61046,2007-12-31 08:25:00,2011-11-24 09:25:00,61047,64637,2011-11-24 09:30:00,2012-02-23 09:25:00,10700,0.014,5.802422817639102
7182,64637,2008-03-31 08:25:00,2012-02-23 09:25:00,64638,68228,2012-02-23 09:30:00,2012-05-23 09:25:00,11000,0.014,3.708352119026104
10773,68228,2008-06-26 08:25:00,2012-05-23 09:25:00,68229,71819,2012-05-23 09:30:00,2012-08-20 09:25:00,10700,0.014,3.700864678603544
14364,71819,2008-09-23 08:25:00,2012-08-20 09:25:00,71820,75410,2012-08-20 09:30:00,2012-11-15 09:25:00,11000,0.014,3.6805975997251434
17955,75410,2008-12-19 09:30:00,2012-11-15 09:25:00,75411,79001,2012-11-15 09:30:00,2013-02-14 09:25:00,11000,0.014,3.380080188071578
21546,79001,2009-03-20 09:30:00,2013-02-14 09:25:00,79002,82592,2013-02-14 09:30:00,2013-05-15 09:25:00,10000,0.014,2.8005791360727534
25137,82592,2009-06-18 09:30:00,2013-05-15 09:25:00,82593,86183,2013-05-15 09:30:00,2013-08-12 09:25:00,10000,0.014,2.4641971531623623
28728,86183,2009-09-15 09:30:00,2013-08-12 09:25:00,86184,89774,2013-08-12 09:30:00,2013-11-07 09:25:00,11000,0.014,2.7306104813430863
32319,89774,2009-12-11 09:30:00,2013-11-07 09:25:00,89775,93365,2013-11-07 09:30:00,2014-02-06 09:25:00,11000,0.01,3.4219371550155695
35910,93365,2010-03-12 09:30:00,2014-02-06 09:25:00,93366,96956,2014-02-06 09:30:00,2014-05-07 09:25:00,10000,0.01,3.04442117858208
39501,96956,2010-06-10 09:30:00,2014-05-07 09:25:00,96957,100547,2014-05-07 09:30:00,2014-08-04 09:35:00,10000,0.01,5.5308427956429576
43092,100547,2010-09-07 09:30:00,2014-08-04 09:35:00,100548,104138,2014-08-04 09:40:00,2014-10-30 09:40:00,11000,0.01,5.905059085261951
46683,104138,2010-12-03 09:30:00,2014-10-30 09:40:00,104139,107729,2014-10-30 09:45:00,2015-01-29 09:50:00,10400,0.01,8.28664297477679
50274,107729,2011-03-03 09:30:00,2015-01-29 09:50:00,107730,111320,2015-01-29 09:55:00,2015-04-29 09:55:00,10400,0.01,6.324086916320139
53865,111320,2011-06-01 09:30:00,2015-04-29 09:55:00,111321,114911,2015-04-29 10:00:00,2015-07-27 10:05:00,10400,0.01,4.406980199356796
57456,114911,2011-08-29 09:30:00,2015-07-27 10:05:00,114912,118502,2015-07-27 10:10:00,2015-10-22 10:10:00,10400,0.01,4.849347632296596
61047,118502,2011-11-24 09:30:00,2015-10-22 10:10:00,118503,122093,2015-10-22 10:15:00,2016-01-21 10:20:00,10400,0.018000000000000002,4.699961384991559
64638,122093,2012-02-23 09:30:00,2016-01-21 10:20:00,122094,125684,2016-01-21 10:25:00,2016-04-20 10:25:00,10300,0.018000000000000002,2.8818770959847217
68229,125684,2012-05-23 09:30:00,2016-04-20 10:25:00,125685,129275,2016-04-20 10:30:00,2016-07-18 10:35:00,10400,0.012,2.669917983238215
71820,129275,2012-08-20 09:30:00,2016-07-18 10:35:00,129276,132866,2016-07-18 10:40:00,2016-10-13 10:40:00,10400,0.012,2.6155156831077853
75411,132866,2012-11-15 09:30:00,2016-10-13 10:40:00,132867,136457,2016-10-13 10:45:00,2017-01-12 10:45:00,10300,0.014,1.4777436447229868
79002,136457,2013-02-14 09:30:00,2017-01-12 10:45:00,136458,140048,2017-01-12 10:50:00,2017-04-11 10:55:00,10500,0.01,1.0773608589151251
82593,140048,2013-05-15 09:30:00,2017-04-11 10:55:00,140049,143639,2017-04-11 11:00:00,2017-07-10 11:05:00,11000,0.016,1.146367029707995
86184,143639,2013-08-12 09:30:00,2017-07-10 11:05:00,143640,147230,2017-07-10 11:10:00,2017-10-05 11:10:00,11000,0.01,1.1334560122841186
89775,147230,2013-11-07 09:30:00,2017-10-05 11:10:00,147231,150821,2017-10-05 11:15:00,2018-01-04 11:15:00,10500,0.01,0.9979648293259266
93366,150821,2014-02-06 09:30:00,2018-01-04 11:15:00,150822,154412,2018-01-04 11:20:00,2018-04-04 11:25:00,10800,0.018000000000000002,0.08501659863778123
96957,154412,2014-05-07 09:30:00,2018-04-04 11:25:00,154413,158003,2018-04-04 11:30:00,2018-07-02 11:30:00,10800,0.018000000000000002,0.008752865824793232
100548,158003,2014-08-04 09:40:00,2018-07-02 11:30:00,158004,161594,2018-07-02 11:35:00,2018-09-27 11:40:00,10800,0.018000000000000002,0.0029076841919981936
104139,161594,2014-10-30 09:45:00,2018-09-27 11:40:00,161595,165185,2018-09-27 11:45:00,2018-12-26 11:45:00,10800,0.014,0.03201517563135361
107730,165185,2015-01-29 09:55:00,2018-12-26 11:45:00,165186,168776,2018-12-26 11:50:00,2019-03-26 11:55:00,10800,0.014,0.18967378494318488
111321,168776,2015-04-29 10:00:00,2019-03-26 11:55:00,168777,172367,2019-03-26 12:00:00,2019-06-24 12:00:00,10800,0.014,0.4557850172507181
114912,172367,2015-07-27 10:10:00,2019-06-24 12:00:00,172368,175958,2019-06-24 12:05:00,2019-09-19 12:10:00,11000,0.014,1.0828366031366454
118503,175958,2015-10-22 10:15:00,2019-09-19 12:10:00,175959,179549,2019-09-19 12:15:00,2019-12-17 12:15:00,10800,0.014,1.1532718361803862
122094,179549,2016-01-21 10:25:00,2019-12-17 12:15:00,179550,183140,2019-12-17 12:20:00,2020-03-17 12:25:00,10800,0.018000000000000002,1.373224959213375
125685,183140,2016-04-20 10:30:00,2020-03-17 12:25:00,183141,186731,2020-03-17 12:30:00,2020-06-15 12:30:00,10000,0.018000000000000002,5.819779074729875
129276,186731,2016-07-18 10:40:00,2020-06-15 12:30:00,186732,190322,2020-06-15 12:35:00,2020-09-10 12:40:00,10700,0.012,4.622125992370311
132867,190322,2016-10-13 10:45:00,2020-09-10 12:40:00,190323,193913,2020-09-10 12:45:00,2020-12-08 12:45:00,10700,0.012,4.622125992370311
136458,193913,2017-01-12 10:50:00,2020-12-08 12:45:00,193914,197504,2020-12-08 12:50:00,2021-03-09 12:55:00,10700,0.014,4.5765805898214325
140049,197504,2017-04-11 11:00:00,2021-03-09 12:55:00,197505,201095,2021-03-09 13:00:00,2021-06-07 13:00:00,10700,0.014,7.5711183157718684
143640,201095,2017-07-10 11:10:00,2021-06-07 13:00:00,201096,204686,2021-06-07 13:05:00,2021-09-02 13:05:00,10700,0.014,7.7665274227403005
147231,204686,2017-10-05 11:15:00,2021-09-02 13:05:00,204687,208277,2021-09-03 08:25:00,2021-12-01 08:30:00,10700,0.014,7.325477481970928
150822,208277,2018-01-04 11:20:00,2021-12-01 08:30:00,208278,211868,2021-12-01 08:35:00,2022-03-01 08:30:00,10600,0.016,5.392368129360255
154413,211868,2018-04-04 11:30:00,2022-03-01 08:30:00,211869,215459,2022-03-01 08:35:00,2022-05-30 08:30:00,11000,0.016,5.2501304035990115
158004,215459,2018-07-02 11:35:00,2022-05-30 08:30:00,215460,219050,2022-05-30 08:35:00,2022-08-25 08:30:00,10600,0.016,5.712427462997856
161595,219050,2018-09-27 11:45:00,2022-08-25 08:30:00,219051,222641,2022-08-25 08:35:00,2022-11-22 08:30:00,10600,0.016,4.899083914715941
165186,222641,2018-12-26 11:50:00,2022-11-22 08:30:00,222642,226232,2022-11-22 08:35:00,2023-02-21 08:30:00,10600,0.016,4.391960618112963
168777,226232,2019-03-26 12:00:00,2023-02-21 08:30:00,226233,229823,2023-02-21 08:35:00,2023-05-22 08:30:00,10700,0.016,3.4979930307439275
172368,229823,2019-06-24 12:05:00,2023-05-22 08:30:00,229824,233414,2023-05-22 08:35:00,2023-08-17 08:30:00,11000,0.016,2.4217963559492137
175959,233414,2019-09-19 12:15:00,2023-08-17 08:30:00,233415,237005,2023-08-17 08:35:00,2023-11-14 08:30:00,10700,0.012,1.716266080023603
179550,237005,2019-12-17 12:20:00,2023-11-14 08:30:00,237006,240596,2023-11-14 08:35:00,2024-02-13 08:30:00,10700,0.012,1.6232275140097374
183141,240596,2020-03-17 12:30:00,2024-02-13 08:30:00,240597,244187,2024-02-13 08:35:00,2024-05-13 08:30:00,10700,0.012,1.2682793393561338
186732,244187,2020-06-15 12:35:00,2024-05-13 08:30:00,244188,247778,2024-05-13 08:35:00,2024-08-08 08:30:00,10700,0.016,-0.249759177373158
190323,247778,2020-09-10 12:45:00,2024-08-08 08:30:00,247779,251369,2024-08-08 08:35:00,2024-11-05 08:30:00,10700,0.016,-0.26546197323680126
193914,251369,2020-12-08 12:50:00,2024-11-05 08:30:00,251370,254960,2024-11-05 08:35:00,2025-02-04 08:30:00,10700,0.016,-0.26546197323680126
197505,254960,2021-03-09 13:00:00,2025-02-04 08:30:00,254961,258551,2025-02-04 08:35:00,2025-05-05 08:30:00,10700,0.012,0.03377149532015982
201096,258551,2021-06-07 13:05:00,2025-05-05 08:30:00,258552,262142,2025-05-05 08:35:00,2025-07-31 08:35:00,10700,0.012,-0.07145391906081049
204687,262142,2021-09-03 08:25:00,2025-07-31 08:35:00,262143,265733,2025-07-31 08:40:00,2025-10-28 08:35:00,10700,0.012,1.825310724811001
208278,265733,2021-12-01 08:35:00,2025-10-28 08:35:00,265734,269324,2025-10-28 08:40:00,2026-01-27 08:35:00,10700,0.012,3.393786586017674
